0,1,2,3,4,5,6,7,8,9,10,11,12
,8.33%,33.33%,41.67%,0.00%  16.67%,,,,,,,,
GEOG-390-504,8,7,0,00,,15 3.533,0.0,0.0,0.0,0.0,0.0,15 PATZEWITSCH W
,53.33%,46.67%,0.00%,0.00%0.00%,,,,,,,,
COURSE TOTAL:,26,17,10,1 2,,56 3.143,0.0,0.0,0.0,3.0,0.0,59
,46.43%,30.36%,17.86%,1.79%   3.57%,,,,,,,,
GEOG-398-500,3,5,2,00,,10 3.100,0.0,0.0,0.0,0.0,0.0,10 POPESCU S
,30.00%,50.00%,20.00%,0.00%0.00%,,,,,,,,
COURSE TOTAL:,3,5,2,0 0,,10 3.100,0.0,0.0,0.0,0.0,0.0,10
,30.00%,50.00%,20.00%,0.00%   0.00%,,,,,,,,
GEOG-401-500,8,17,4,20,,31 3.000,0.0,0.0,0.0,1.0,0.0,32 HUGILL P
,25.81%,54.84%,12.90%,6.45%0.00%,,,,,,,,
COURSE TOTAL:,8,17,4,2 0,,31 3.000,0.0,0.0,0.0,1.0,0.0,32
,25.81%,54.84%,12.90%,6.45%   0.00%,,,,,,,,
GEOG-420-500,15,12,7,31,,38 2.974,0.0,0.0,0.0,1.0,0.0,39 PROUT E
COURSE TOTAL:,15,12,7 3 1,,,38 2.974,0.0,0.0,0.0,1.0,0.0,39
,39.47%,31.58%,18.42%7.89%   2.63%,,,,,,,,,
GEOG-442-500,5,0,3 01,,,9 2.889,0.0,0.0,0.0,1.0,0.0,10 ROARK E
,55.56%,0.00%,33.33%0.00%  11.11%,,,,,,,,,
COURSE TOTAL:,5,0,3 0 1,,,9 2.889,0.0,0.0,0.0,1.0,0.0,10
,55.56%,0.00%,33.33%0.00%  11.11%,,,,,,,,,
GEOG-450-500,6,5,1 23,,,17 2.529,0.0,0.0,0.0,0.0,0.0,17 LAFON C
,35.29%,29.41%,5.88%  11.76%  17.65%,,,,,,,,,
COURSE TOTAL:,6,5,1 2 3,,,17 2.529,0.0,0.0,0.0,0.0,0.0,17
,35.29%,29.41%,5.88%  11.76%  17.65%,,,,,,,,,
GEOG-605-600,8,4,0 00,,,12 3.667,1.0,0.0,0.0,0.0,0.0,13 SMITH J
,66.67%,33.33%,0.00%0.00%0.00%,,,,,,,,,
COURSE TOTAL:,8,4,0 0 0,,,12 3.667,1.0,0.0,0.0,0.0,0.0,13
,66.67%,33.33%,0.00%0.00%   0.00%,,,,,,,,,
GEOG-610-600,5,4,0 00,,,9 3.556,1.0,0.0,0.0,0.0,0.0,10 JEPSON W
,55.56%,44.44%,0.00%0.00%0.00%,,,,,,,,,
COURSE TOTAL:,5,4,0 0 0,,,9 3.556,1.0,0.0,0.0,0.0,0.0,10
,55.56%,44.44%,0.00%0.00%   0.00%,,,,,,,,,
GEOG-619-600,9,5,0 00,,,14 3.643,4.0,0.0,0.0,0.0,0.0,18 BRANNSTROM C
,64.29%,35.71%,0.00%0.00%0.00%,,,,,,,,,
COURSE TOTAL:,9,5,0 0 0,,,14 3.643,4.0,0.0,0.0,0.0,0.0,18
,64.29%,35.71%,0.00%0.00%   0.00%,,,,,,,,,
